block,k_clusters,clusterId,accuracy_top1,ig_faithfulness_mean,ig_faithfulness_std,ig_sparsity_mean,ig_sparsity_std,saliency_faithfulness_mean,saliency_faithfulness_std,saliency_sparsity_mean,saliency_sparsity_std
block_1,2,0,0.75,0.436555197,0.327413706,0.510303797,0.04197661,0.371915331,0.335887033,0.434548489,0.026573032
block_1,3,0,0.75,0.435979026,0.328351962,0.510229625,0.041944117,0.369750949,0.333533484,0.434395627,0.026502567
block_1,5,3,0.75,0.408247333,0.324443552,0.506225586,0.040390374,0.324896669,0.3141763,0.427888167,0.029791007
block_3,3,1,0.75,0.406465601,0.333739556,0.506260961,0.041250363,0.332069152,0.316020325,0.428343265,0.030642514
block_2,3,2,0.75,0.405614087,0.334347718,0.506048343,0.040785199,0.331164974,0.317004814,0.42869702,0.03058356
block_2,4,2,0.75,0.405614087,0.334347718,0.506048343,0.040785199,0.331164974,0.317004814,0.42869702,0.03058356
block_2,5,2,0.75,0.405614087,0.334347718,0.506048343,0.040785199,0.331164974,0.317004814,0.42869702,0.03058356
block_2,2,0,0.75,0.405484027,0.334720329,0.506053757,0.040786326,0.33239474,0.317502352,0.428703032,0.030587193
block_1,5,4,0.75,0.404624641,0.330395475,0.505005647,0.04068993,0.332085164,0.317963528,0.426922134,0.029684576
block_3,5,4,0.75,0.403947636,0.327651514,0.505835094,0.04075409,0.334516596,0.315597241,0.428118224,0.030351691
block_4,3,2,0.75,0.403476759,0.330907412,0.507241742,0.04160945,0.336810953,0.311803186,0.429305843,0.031115248
block_3,2,1,0.75,0.403248239,0.331418527,0.506119493,0.041062044,0.336784648,0.315168162,0.428277463,0.030553207
block_2,5,3,0.75,0.402337854,0.324662393,0.506570605,0.040981156,0.336213985,0.312223521,0.428837492,0.030596165
block_2,3,1,0.75,0.402162869,0.331963519,0.505892724,0.040815219,0.333170693,0.315583396,0.428211163,0.030418822
block_2,4,1,0.75,0.402162869,0.331963519,0.505892724,0.040815219,0.333170693,0.315583396,0.428211163,0.030418822
block_2,5,1,0.75,0.402162869,0.331963519,0.505892724,0.040815219,0.333170693,0.315583396,0.428211163,0.030418822
block_3,4,1,0.75,0.402116836,0.331974334,0.506202932,0.041267625,0.333456185,0.314089736,0.428261054,0.030640195
block_1,4,0,0.75,0.402110559,0.326332568,0.503664966,0.041429777,0.346337126,0.320857481,0.426455111,0.028307425
block_1,4,3,0.75,0.401495482,0.326306585,0.506307431,0.040400857,0.3253912,0.312087994,0.428004491,0.02984607
block_2,4,3,0.75,0.40141477,0.327909937,0.505825029,0.040748904,0.33367124,0.313481259,0.428042657,0.030401778
block_4,5,0,0.75,0.401061223,0.327007482,0.508407871,0.042260517,0.334721644,0.311438684,0.43029938,0.031581784
block_4,5,3,0.75,0.400922957,0.332811326,0.505899534,0.040824217,0.333978041,0.315251866,0.4282103,0.030419531
block_2,5,4,0.75,0.40081039,0.331023887,0.505886147,0.040795149,0.335334175,0.316622413,0.428193592,0.030399544
block_4,5,4,0.75,0.400809569,0.328300021,0.506924194,0.041526895,0.337506615,0.316596769,0.429096979,0.031118103
baseline,0,0,0.74306,0.400735868,0.332815973,0.505889137,0.040813414,0.333858313,0.315453316,0.428205317,0.030416364
block_4,2,0,0.75,0.400627448,0.331218407,0.507697704,0.041777792,0.33464395,0.31221559,0.429598281,0.031360036
block_3,5,1,0.75,0.400589109,0.330634561,0.506263386,0.041331645,0.334707342,0.316116469,0.428325494,0.030711409
block_1,5,0,0.75,0.400396584,0.332078871,0.505502465,0.041238286,0.347769962,0.3206955,0.42754554,0.029923961
block_3,5,2,0.75,0.400376562,0.334182999,0.506226616,0.041032786,0.348604636,0.317840282,0.428406808,0.030462964
block_4,4,2,0.75,0.400268112,0.333246247,0.506067941,0.040845159,0.335530324,0.31548854,0.428333034,0.030456246
block_4,4,3,0.75,0.40015651,0.333626299,0.506151513,0.040937797,0.335525867,0.313846173,0.428389336,0.03058141
block_3,5,0,0.75,0.400072392,0.334683716,0.507514051,0.041354147,0.327359561,0.31608528,0.429944927,0.031737557
block_4,5,2,0.75,0.399491941,0.332052902,0.505954507,0.040805028,0.335531289,0.315614451,0.428244413,0.030401811
block_4,4,0,0.75,0.398845086,0.327047656,0.508911764,0.042910714,0.339991929,0.312468565,0.430777895,0.031912593
block_4,3,0,0.75,0.398377591,0.331864886,0.506272355,0.041029012,0.33638293,0.313195031,0.428493536,0.030643876
block_1,3,1,0.75,0.397343066,0.328424607,0.506851915,0.040863356,0.332160006,0.310013825,0.429735099,0.031107053
block_1,4,1,0.75,0.397343066,0.328424607,0.506851915,0.040863356,0.332160006,0.310013825,0.429735099,0.031107053
block_1,5,1,0.75,0.397343066,0.328424607,0.506851915,0.040863356,0.332160006,0.310013825,0.429735099,0.031107053
block_3,3,2,0.75,0.396544126,0.337903474,0.506321648,0.041114766,0.343399475,0.322647254,0.428551598,0.030659654
block_1,2,1,0.75,0.396352431,0.326485359,0.508035814,0.041012179,0.326834841,0.313039613,0.432521358,0.03222161
block_3,4,0,0.75,0.395530079,0.331389732,0.507737564,0.041482927,0.325581847,0.312572073,0.43012031,0.031829642
block_1,3,2,0.75,0.394784457,0.326777234,0.507426027,0.040997032,0.327005816,0.3147777,0.43131723,0.031715918
block_1,4,2,0.75,0.39414485,0.327045611,0.507426226,0.040997325,0.32712353,0.314490603,0.431314141,0.031714576
block_1,5,2,0.75,0.39414485,0.327045611,0.507426226,0.040997325,0.32712353,0.314490603,0.431314141,0.031714576
block_3,4,2,0.75,0.391934055,0.332184437,0.506164268,0.041129035,0.348711406,0.317975171,0.428433547,0.030561676
block_3,4,3,0.75,0.391853705,0.326896772,0.499193904,0.036592806,0.318004643,0.306692369,0.423728144,0.026359667
block_3,5,3,0.75,0.39103954,0.327378375,0.499415092,0.036697438,0.315917449,0.313270962,0.424024102,0.026654241
block_2,4,0,0.75,0.390623542,0.337091404,0.506968936,0.039130891,0.329156667,0.313816181,0.427546702,0.026916119
block_2,3,0,0.75,0.381321306,0.328646699,0.508947438,0.040682278,0.343550083,0.321188021,0.428342036,0.025598459
block_2,2,1,0.75,0.381321306,0.328646699,0.508947438,0.040682278,0.343550083,0.321188021,0.428342036,0.025598459
block_2,5,0,0.75,0.374911659,0.337901344,0.503080158,0.039229645,0.327424086,0.309952596,0.425552821,0.028417097
block_3,3,0,0.75,0.373995913,0.329782109,0.502373479,0.035615482,0.303691115,0.315097111,0.428538212,0.028609107
block_3,2,0,0.75,0.370249247,0.32011013,0.508964013,0.037626121,0.288292805,0.305402385,0.434984754,0.029401227
block_4,4,1,0.75,0.331937072,0.331293951,0.492049154,0.033697326,0.280262614,0.308133268,0.417808514,0.024621787
block_4,5,1,0.75,0.325208659,0.329389587,0.492185208,0.033729186,0.27442589,0.304335554,0.417837711,0.025160254
block_4,3,1,0.75,0.289963685,0.314503958,0.490202985,0.031436657,0.235060576,0.296518324,0.419211775,0.024064725
block_4,2,1,0.75,0.288742297,0.315002148,0.494873113,0.03421499,0.240141789,0.295118121,0.420914614,0.025499258
